ActionGeo_CountryCode,AvgTone,GoldsteinScale,GLOBALEVENTID,CountryName
SF,-1.8062364386488887,0.8751111111111112,675,South Africa
NI,0.39662345494117646,1.2204603580562658,391,Nigeria
EG,-2.146310314117647,1.5093425605536333,289,Egypt
UV,-2.663277186462264,1.8136792452830188,212,Burkina Faso
ML,-4.002928537866293,-0.10112359550561793,178,Mali
LY,-2.046265917323944,0.1323943661971831,142,Libya
NG,0.0520353019852941,1.5492647058823528,136,Niger
SU,-2.4747639004040405,1.6515151515151516,99,Sudan
AG,-1.053366090967742,1.8043010752688173,93,Algeria
ET,2.512444467763158,2.15,76,Ethiopia
SO,0.8461878818055557,1.9083333333333334,72,Somalia
UG,-0.6792446392504544,2.913636363636364,66,Uganda
GH,-1.174379901551724,-0.12068965517241388,58,Ghana
CF,-1.0525835039285716,2.175,56,Congo
DJ,-3.0902751521428575,-1.6357142857142857,56,Djibouti
ZI,-2.2510798945454544,-0.08727272727272727,55,Zimbabwe
KE,-1.3004179996296297,2.4555555555555553,54,Kenya
MO,0.9059985702325581,2.641860465116279,43,Morocco
WA,0.0686048492682927,1.897560975609756,41,Namibia
TZ,2.1395319790243903,3.029268292682927,41,Tanzania
LI,-3.4580191944444447,1.911111111111111,36,Liberia
TP,-0.53475934,4.625,32,Sao Tome and Principe
RW,-2.2783860460714283,1.9035714285714287,28,Rwanda
MP,-1.666146546923077,3.0615384615384613,26,Mauritius
CT,-2.5058732681818183,-0.8454545454545456,22,Central African Republic
GB,-3.504672004210526,0.1894736842105263,19,Gabon
SG,-1.5081713311111111,2.388888888888889,18,Senegal
CM,-3.53662910625,1.24375,16,Cameroon
AO,-2.68054359375,0.3875,16,Angola
OD,-5.250876154666667,2.2866666666666666,15,South Sudan
TS,-3.14719902,1.6666666666666667,15,Tunisia
TO,-2.689146912,1.833333333333333,15,Togo
MZ,-1.0462717400000001,-1.6214285714285717,14,Mozambique
EK,-3.0357084583333336,-1.1500000000000001,12,Equatorial Guinea
PU,0.22125839166666664,1.2833333333333332,12,Guinea-Bissau
GV,0.93675858,4.37,10,Equatorial Guinea
BY,-5.761447666666667,3.0,9,Burundi
CG,-0.7217248577777778,-0.4555555555555557,9,Democratic Republic of the Congo
CD,-3.8375111,3.2125000000000004,8,Chad
MR,-9.388346475,2.1125,8,Mauritania
BN,-1.0059829142857144,4.571428571428571,7,Benin
GA,-0.5346995913333333,3.6666666666666665,6,Gambia
ZA,0.8399190333333334,3.6,6,Zambia
SL,-2.2060436240000003,2.54,5,Sierra Leone
ER,-2.2573255260000002,2.56,5,Eritrea
SE,-3.6569873250000002,5.1,4,Seychelles
MA,-2.074007075,-0.15000000000000002,4,Madagascar
MI,-1.9353158466666667,-4.333333333333333,3,Malawi
